client_id,Delinquent90
75000,0.04666666666666667
75001,0.5866666666666667
75002,0.0
75003,0.14
75004,0.0
75005,0.02666666666666667
75006,0.006666666666666667
75007,0.006666666666666667
75008,0.043333333333333335
75009,0.12666666666666668
75010,0.20666666666666667
75011,0.02666666666666667
75012,0.10333333333333333
75013,0.0033333333333333335
75014,0.38666666666666666
75015,0.29333333333333333
75016,0.18
75017,0.08
75018,0.0
75019,0.14
75020,0.013333333333333334
75021,0.06666666666666667
75022,0.09
75023,0.0
75024,0.06
75025,0.20666666666666667
75026,0.0033333333333333335
75027,0.0
75028,0.013333333333333334
75029,0.0033333333333333335
75030,0.013333333333333334
75031,0.0
75032,0.043333333333333335
75033,0.043333333333333335
75034,0.0
75035,0.006666666666666667
75036,0.013333333333333334
75037,0.0033333333333333335
75038,0.0
75039,0.07666666666666666
75040,0.0033333333333333335
75041,0.01
75042,0.0033333333333333335
75043,0.0
75044,0.013333333333333334
75045,0.10666666666666667
75046,0.02
75047,0.006666666666666667
75048,0.17
75049,0.22666666666666666
75050,0.0033333333333333335
75051,0.0
75052,0.24333333333333335
75053,0.013333333333333334
75054,0.03
75055,0.01
75056,0.02666666666666667
75057,0.09666666666666666
75058,0.013333333333333334
75059,0.09333333333333334
75060,0.16666666666666666
75061,0.0033333333333333335
75062,0.12
75063,0.0
75064,0.04
75065,0.013333333333333334
75066,0.023333333333333334
75067,0.02666666666666667
75068,0.03
75069,0.0033333333333333335
75070,0.016666666666666666
75071,0.07
75072,0.04
75073,0.06
75074,0.09666666666666666
75075,0.016666666666666666
75076,0.01
75077,0.09
75078,0.17
75079,0.0
75080,0.02666666666666667
75081,0.22666666666666666
75082,0.016666666666666666
75083,0.03
75084,0.01
75085,0.023333333333333334
75086,0.013333333333333334
75087,0.0033333333333333335
75088,0.0
75089,0.0033333333333333335
75090,0.0
75091,0.03
75092,0.12
75093,0.0033333333333333335
75094,0.0033333333333333335
75095,0.03
75096,0.0033333333333333335
75097,0.023333333333333334
75098,0.04
75099,0.05333333333333334
75100,0.09
75101,0.01
75102,0.02
75103,0.01
75104,0.17
75105,0.11666666666666667
75106,0.01
75107,0.03
75108,0.01
75109,0.016666666666666666
75110,0.0
75111,0.08666666666666667
75112,0.0033333333333333335
75113,0.0
75114,0.0033333333333333335
75115,0.02
75116,0.0033333333333333335
75117,0.0
75118,0.02
75119,0.34
75120,0.01
75121,0.06666666666666667
75122,0.0
75123,0.19
75124,0.0
75125,0.0033333333333333335
75126,0.0033333333333333335
75127,0.013333333333333334
75128,0.17333333333333334
75129,0.06
75130,0.15333333333333332
75131,0.02666666666666667
75132,0.36333333333333334
75133,0.013333333333333334
75134,0.26
75135,0.03666666666666667
75136,0.18
75137,0.0
75138,0.01
75139,0.05
75140,0.0
75141,0.006666666666666667
75142,0.07666666666666666
75143,0.016666666666666666
75144,0.08
75145,0.47
75146,0.13666666666666666
75147,0.0033333333333333335
75148,0.08
75149,0.02
75150,0.37333333333333335
75151,0.006666666666666667
75152,0.11
75153,0.01
75154,0.0033333333333333335
75155,0.006666666666666667
75156,0.0033333333333333335
75157,0.0033333333333333335
75158,0.013333333333333334
75159,0.03
75160,0.04
75161,0.0033333333333333335
75162,0.2966666666666667
75163,0.02666666666666667
75164,0.03333333333333333
75165,0.0033333333333333335
75166,0.07333333333333333
75167,0.11666666666666667
75168,0.02
75169,0.02
75170,0.10333333333333333
75171,0.02666666666666667
75172,0.056666666666666664
75173,0.006666666666666667
75174,0.006666666666666667
75175,0.006666666666666667
75176,0.03333333333333333
75177,0.0
75178,0.0
75179,0.05
75180,0.0033333333333333335
75181,0.09666666666666666
75182,0.08666666666666667
75183,0.0
75184,0.39
75185,0.043333333333333335
75186,0.05
75187,0.0033333333333333335
75188,0.05
75189,0.0
75190,0.09
75191,0.02666666666666667
75192,0.06
75193,0.0033333333333333335
75194,0.38
75195,0.006666666666666667
75196,0.11
75197,0.05
75198,0.21333333333333335
75199,0.016666666666666666
75200,0.02
75201,0.41
75202,0.08
75203,0.0
75204,0.03666666666666667
75205,0.016666666666666666
75206,0.006666666666666667
75207,0.21
75208,0.03666666666666667
75209,0.013333333333333334
75210,0.0033333333333333335
75211,0.05333333333333334
75212,0.12
75213,0.06333333333333334
75214,0.10333333333333333
75215,0.02
75216,0.01
75217,0.14666666666666667
75218,0.013333333333333334
75219,0.05333333333333334
75220,0.03333333333333333
75221,0.03333333333333333
75222,0.01
75223,0.01
75224,0.043333333333333335
75225,0.03
75226,0.0
75227,0.0
75228,0.016666666666666666
75229,0.10666666666666667
75230,0.08333333333333333
75231,0.02666666666666667
75232,0.16
75233,0.0033333333333333335
75234,0.05333333333333334
75235,0.0
75236,0.02
75237,0.13666666666666666
75238,0.043333333333333335
75239,0.0033333333333333335
75240,0.0033333333333333335
75241,0.023333333333333334
75242,0.23333333333333334
75243,0.01
75244,0.0
75245,0.14
75246,0.0033333333333333335
75247,0.0033333333333333335
75248,0.01
75249,0.01
75250,0.06333333333333334
75251,0.006666666666666667
75252,0.04666666666666667
75253,0.0033333333333333335
75254,0.043333333333333335
75255,0.006666666666666667
75256,0.016666666666666666
75257,0.20333333333333334
75258,0.023333333333333334
75259,0.15333333333333332
75260,0.12
75261,0.07
75262,0.03333333333333333
75263,0.0
75264,0.0033333333333333335
75265,0.016666666666666666
75266,0.0
75267,0.02
75268,0.006666666666666667
75269,0.0033333333333333335
75270,0.03
75271,0.02
75272,0.30666666666666664
75273,0.0033333333333333335
75274,0.11333333333333333
75275,0.02
75276,0.04666666666666667
75277,0.0033333333333333335
75278,0.06333333333333334
75279,0.0033333333333333335
75280,0.0
75281,0.06666666666666667
75282,0.006666666666666667
75283,0.013333333333333334
75284,0.023333333333333334
75285,0.013333333333333334
75286,0.0
75287,0.09
75288,0.09333333333333334
75289,0.016666666666666666
75290,0.01
75291,0.0
75292,0.043333333333333335
75293,0.35333333333333333
75294,0.02
75295,0.06666666666666667
75296,0.0
75297,0.0033333333333333335
75298,0.0033333333333333335
75299,0.01
75300,0.09
75301,0.5066666666666667
75302,0.02666666666666667
75303,0.006666666666666667
75304,0.27666666666666667
75305,0.0
75306,0.0
75307,0.04666666666666667
75308,0.0033333333333333335
75309,0.04666666666666667
75310,0.006666666666666667
75311,0.15
75312,0.0
75313,0.21333333333333335
75314,0.01
75315,0.0033333333333333335
75316,0.03666666666666667
75317,0.016666666666666666
75318,0.21333333333333335
75319,0.013333333333333334
75320,0.2
75321,0.03
75322,0.023333333333333334
75323,0.056666666666666664
75324,0.0033333333333333335
75325,0.3
75326,0.03666666666666667
75327,0.17666666666666667
75328,0.03666666666666667
75329,0.04
75330,0.0
75331,0.02
75332,0.0033333333333333335
75333,0.15333333333333332
75334,0.01
75335,0.11
75336,0.016666666666666666
75337,0.19
75338,0.0033333333333333335
75339,0.04666666666666667
75340,0.02666666666666667
75341,0.006666666666666667
75342,0.0033333333333333335
75343,0.06
75344,0.06
75345,0.016666666666666666
75346,0.07333333333333333
75347,0.07333333333333333
75348,0.0033333333333333335
75349,0.03666666666666667
75350,0.0033333333333333335
75351,0.0033333333333333335
75352,0.043333333333333335
75353,0.0
75354,0.39
75355,0.0
75356,0.25666666666666665
75357,0.11
75358,0.0033333333333333335
75359,0.006666666666666667
75360,0.0
75361,0.31
75362,0.02666666666666667
75363,0.0
75364,0.006666666666666667
75365,0.016666666666666666
75366,0.0033333333333333335
75367,0.0033333333333333335
75368,0.01
75369,0.23333333333333334
75370,0.006666666666666667
75371,0.02
75372,0.02666666666666667
75373,0.2833333333333333
75374,0.03
75375,0.02
75376,0.0
75377,0.06666666666666667
75378,0.013333333333333334
75379,0.056666666666666664
75380,0.006666666666666667
75381,0.01
75382,0.10666666666666667
75383,0.23
75384,0.016666666666666666
75385,0.03666666666666667
75386,0.03
75387,0.12666666666666668
75388,0.0033333333333333335
75389,0.05
75390,0.01
75391,0.05333333333333334
75392,0.0033333333333333335
75393,0.05333333333333334
75394,0.023333333333333334
75395,0.08666666666666667
75396,0.19666666666666666
75397,0.0
75398,0.0
75399,0.013333333333333334
75400,0.5766666666666667
75401,0.0
75402,0.0033333333333333335
75403,0.023333333333333334
75404,0.22666666666666666
75405,0.19333333333333333
75406,0.016666666666666666
75407,0.056666666666666664
75408,0.05
75409,0.023333333333333334
75410,0.21
75411,0.06666666666666667
75412,0.013333333333333334
75413,0.02666666666666667
75414,0.11
75415,0.12
75416,0.02666666666666667
75417,0.05333333333333334
75418,0.07
75419,0.016666666666666666
75420,0.03666666666666667
75421,0.0
75422,0.013333333333333334
75423,0.10666666666666667
75424,0.0033333333333333335
75425,0.04
75426,0.04666666666666667
75427,0.44666666666666666
75428,0.01
75429,0.01
75430,0.08333333333333333
75431,0.023333333333333334
75432,0.023333333333333334
75433,0.01
75434,0.12
75435,0.006666666666666667
75436,0.016666666666666666
75437,0.0
75438,0.09666666666666666
75439,0.0
75440,0.0033333333333333335
75441,0.0033333333333333335
75442,0.0
75443,0.07
75444,0.013333333333333334
75445,0.05333333333333334
75446,0.02
75447,0.6833333333333333
75448,0.0033333333333333335
75449,0.10333333333333333
75450,0.07666666666666666
75451,0.013333333333333334
75452,0.006666666666666667
75453,0.0
75454,0.02
75455,0.016666666666666666
75456,0.13
75457,0.12
75458,0.02
75459,0.023333333333333334
75460,0.01
75461,0.043333333333333335
75462,0.016666666666666666
75463,0.06
75464,0.48
75465,0.01
75466,0.4066666666666667
75467,0.02666666666666667
75468,0.006666666666666667
75469,0.10333333333333333
75470,0.006666666666666667
75471,0.013333333333333334
75472,0.03333333333333333
75473,0.07333333333333333
75474,0.0
75475,0.006666666666666667
75476,0.03
75477,0.023333333333333334
75478,0.01
75479,0.06666666666666667
75480,0.2833333333333333
75481,0.0033333333333333335
75482,0.0
75483,0.0033333333333333335
75484,0.09333333333333334
75485,0.08333333333333333
75486,0.06333333333333334
75487,0.02
75488,0.056666666666666664
75489,0.5
75490,0.02666666666666667
75491,0.0033333333333333335
75492,0.006666666666666667
75493,0.023333333333333334
75494,0.10333333333333333
75495,0.0033333333333333335
75496,0.016666666666666666
75497,0.016666666666666666
75498,0.07333333333333333
75499,0.013333333333333334
75500,0.13333333333333333
75501,0.02666666666666667
75502,0.056666666666666664
75503,0.006666666666666667
75504,0.11333333333333333
75505,0.0
75506,0.006666666666666667
75507,0.02
75508,0.0033333333333333335
75509,0.20666666666666667
75510,0.2966666666666667
75511,0.3
75512,0.12666666666666668
75513,0.043333333333333335
75514,0.03333333333333333
75515,0.12
75516,0.03
75517,0.08333333333333333
75518,0.02666666666666667
75519,0.016666666666666666
75520,0.33
75521,0.006666666666666667
75522,0.21666666666666667
75523,0.0033333333333333335
75524,0.006666666666666667
75525,0.08333333333333333
75526,0.21333333333333335
75527,0.013333333333333334
75528,0.10333333333333333
75529,0.023333333333333334
75530,0.016666666666666666
75531,0.006666666666666667
75532,0.07
75533,0.14333333333333334
75534,0.08666666666666667
75535,0.08
75536,0.04
75537,0.0033333333333333335
75538,0.0
75539,0.5133333333333333
75540,0.0033333333333333335
75541,0.06333333333333334
75542,0.47333333333333333
75543,0.39
75544,0.0
